vcfname	strainName	paper_year	PRJcode	clade/population/classification
SRR7851919	2.1392	Duan_2019	PRJNA396809	Huangjiu
SRR7851778	2.591	Duan_2019	PRJNA396809	Mantou 7
ERR754601	3.1	Almeida_2015	PRJEB7601	Mediterranean oak
SRR7851763	155	Duan_2019	PRJNA396809	Mantou 7
SRR7851764	168	Duan_2019	PRJNA396809	Mantou 7
SRR7851741	229	Duan_2019	PRJNA396809	Mantou 7
SRR7851740	427	Duan_2019	PRJNA396809	Mantou 7
SRR7851743	502	Duan_2019	PRJNA396809	Mantou 7
ERR560545	1014-F5	GENOWINE_2015	PRJEB6529	?
ERR266424	1014g5	Ramazzotti_2018	PRJEB1871	grape
SRR7851789	11-3002	Duan_2019	PRJNA396809	Milk
ERR560543	20B2	GENOWINE_2015	PRJEB6529	?
ERR560544	22A4	GENOWINE_2015	PRJEB6529	?
SRR649842	273614N	Skelly_2013	PRJNA186707	clinical
SRR649905	378604X	Skelly_2013	PRJNA186707	clinical
SRR7851786	5-3004	Duan_2019	PRJNA396809	Milk
ERR1276734	59A	GENOWINE_2015	PRJEB6529	?
ERR560550	6320-A7	GENOWINE_2015	PRJEB6529	?
ERR560548	7-7	GENOWINE_2015	PRJEB6529	?
ERR3010122	A8	Pontes_2019	PRJEB30431	olives
ERR1309487	AAA	PeterandDeChiara_2018	PRJEB13017	1. Wine/European 
ERR1308784	AAB	PeterandDeChiara_2018	PRJEB13017	7. Mosaic beer 
ERR1309038	AAC	PeterandDeChiara_2018	PRJEB13017	11. Ale beer 
ERR1308805	AAD	PeterandDeChiara_2018	PRJEB13017	25. Sake 
ERR1309410	AAE	PeterandDeChiara_2018	PRJEB13017	1. Wine/European (subclade 4)
ERR1308974	AAG	PeterandDeChiara_2018	PRJEB13017	M3. Mosaic region 3
ERR1309088	AAH	PeterandDeChiara_2018	PRJEB13017	?
ERR1309457	AAI	PeterandDeChiara_2018	PRJEB13017	1. Wine/European 
ERR1308664	AAK	PeterandDeChiara_2018	PRJEB13017	1. Wine/European (subclade 4)
ERR1309297	AAL	PeterandDeChiara_2018	PRJEB13017	8. Mixed origin 
ERR1308737	AAM	PeterandDeChiara_2018	PRJEB13017	8. Mixed origin 
ERR1308608	AAN	PeterandDeChiara_2018	PRJEB13017	8. Mixed origin 
